eurovision_id,eurovision_name,place_id
0,Turin 2022                                        ,0
1,Rotterdam 2021                                    ,1
2,Rotterdam 2020                                    ,1
3,Tel Aviv 2019                                     ,2
4,Lisbon 2018                                       ,3
5,Kyiv 2017                                         ,4
6,Stockholm 2016                                    ,5
7,Vienna 2015                                       ,6
8,Copenhagen 2014                                   ,7
9,Malmö 2013                                        ,8
10,Baku 2012                                         ,9
11,Düsseldorf 2011                                   ,10
12,Oslo 2010                                         ,11
13,Moscow 2009                                       ,12
14,Belgrade 2008                                     ,13
15,Helsinki 2007                                     ,14
16,Athens 2006                                       ,15
17,Kyiv 2005                                         ,4
18,Istanbul 2004                                     ,16
19,Riga 2003                                         ,17
20,Tallinn 2002                                      ,18
21,Copenhagen 2001                                   ,7
22,Stockholm 2000                                    ,5
23,Jerusalem 1999                                    ,19
24,Birmingham 1998                                   ,20
25,Dublin 1997                                       ,21
26,Oslo 1996                                         ,11
27,Dublin 1995                                       ,21
28,Dublin 1994                                       ,21
29,Millstreet 1993                                   ,22
30,Malmö 1992                                        ,8
31,Rome 1991                                         ,23
32,Zagreb 1990                                       ,24
33,Lausanne 1989                                     ,25
34,Dublin 1988                                       ,21
35,Brussels 1987                                     ,26
36,Bergen 1986                                       ,27
37,Gothenburg 1985                                   ,28
38,Luxembourg 1984                                   ,29
39,Munich 1983                                       ,30
40,Harrogate 1982                                    ,31
41,Dublin 1981                                       ,21
42,The Hague 1980                                    ,32
43,Jerusalem 1979                                    ,19
44,Paris 1978                                        ,33
45,London 1977                                       ,34
46,The Hague 1976                                    ,32
47,Stockholm 1975                                    ,5
48,Brighton 1974                                     ,35
49,Luxembourg 1973                                   ,29
50,Edinburgh 1972                                    ,36
51,Dublin 1971                                       ,21
52,Amsterdam 1970                                    ,37
53,Madrid 1969                                       ,38
54,London 1968                                       ,34
55,Vienna 1967                                       ,6
56,Luxembourg 1966                                   ,29
57,Naples 1965                                       ,39
58,Copenhagen 1964                                   ,7
59,London 1963                                       ,34
60,Luxembourg 1962                                   ,29
61,Cannes 1961                                       ,40
62,London 1960                                       ,34
63,Cannes 1959                                       ,40
64,Hilversum 1958                                    ,41
65,Frankfurt 1957                                    ,42
66,Lugano 1956                                       ,43
