place_id,place_city,place_country
0,Turin                                             ,Italy                                             
1,Rotterdam                                         ,Netherlands                                       
2,Tel Aviv                                          ,Israel                                            
3,Lisbon                                            ,Portugal                                          
4,Kyiv                                              ,Ukraine                                           
5,Stockholm                                         ,Sweden                                            
6,Vienna                                            ,Austria                                           
7,Copenhagen                                        ,Denmark                                           
8,Malmö                                             ,Sweden                                            
9,Baku                                              ,Azerbaijan                                        
10,Düsseldorf                                        ,Germany                                           
11,Oslo                                              ,Norway                                            
12,Moscow                                            ,Russia                                            
13,Belgrade                                          ,Serbia                                            
14,Helsinki                                          ,Finland                                           
15,Athens                                            ,Greece                                            
16,Istanbul                                          ,Turkey                                            
17,Riga                                              ,Latvia                                            
18,Tallinn                                           ,Estonia                                           
19,Jerusalem                                         ,Israel                                            
20,Birmingham                                        ,United Kingdom                                    
21,Dublin                                            ,Ireland                                           
22,Millstreet                                        ,Ireland                                           
23,Rome                                              ,Italy                                             
24,Zagreb                                            ,Yugoslavia                                        
25,Lausanne                                          ,Switzerland                                       
26,Brussels                                          ,Belgium                                           
27,Bergen                                            ,Norway                                            
28,Gothenburg                                        ,Sweden                                            
29,Luxembourg                                        ,Luxembourg                                        
30,Munich                                            ,Germany                                           
31,Harrogate                                         ,United Kingdom                                    
32,The Hague                                         ,Netherlands                                       
33,Paris                                             ,France                                            
34,London                                            ,United Kingdom                                    
35,Brighton                                          ,United Kingdom                                    
36,Edinburgh                                         ,United Kingdom                                    
37,Amsterdam                                         ,Netherlands                                       
38,Madrid                                            ,Spain                                             
39,Naples                                            ,Italy                                             
40,Cannes                                            ,France                                            
41,Hilversum                                         ,Netherlands                                       
42,Frankfurt                                         ,Germany                                           
43,Lugano                                            ,Switzerland                                       
