song_id,song_name,artist_id
0,Stefania                                                                                            ,0
1,De Diepte                                                                                           ,1
2,Die Together                                                                                        ,2
3,"Saudade, Saudade                                                                                    ",3
4,Intention                                                                                           ,4
5,Disko                                                                                               ,5
6,Snap                                                                                                ,6
7,Give That Wolf A Banana                                                                             ,7
8,Sentimentai                                                                                         ,8
9,Trenulețul                                                                                          ,9
10,Boys Do Cry                                                                                         ,10
11,Með Hækkandi Sól                                                                                   ,11
12,Guilty Pleasure                                                                                     ,12
13,Sekret                                                                                              ,13
14,The Show                                                                                            ,14
15,Eat Your Salad                                                                                      ,15
16,Halo                                                                                                ,16
17,Hold Me Closer                                                                                      ,17
18,Not The Same                                                                                        ,18
19,In Corpore Sano                                                                                     ,19
20,Lights Off                                                                                          ,20
21,Hope                                                                                                ,21
22,Jezebel                                                                                             ,22
23,Miss You                                                                                            ,23
24,Fade To Black                                                                                       ,24
25,Ela                                                                                                 ,25
26,Stripper                                                                                            ,26
27,I Am What I Am                                                                                      ,27
28,River                                                                                               ,28
29,Llámame                                                                                             ,29
30,Circles                                                                                             ,30
31,I.M                                                                                                 ,31
32,Thats Rich                                                                                          ,32
33,Breathe                                                                                             ,33
34,Lock Me In                                                                                          ,34
35,SPACE MAN                                                                                           ,35
36,SloMo                                                                                               ,36
37,Brividi                                                                                             ,37
38,Fulenn                                                                                              ,38
39,Rockstars                                                                                           ,39
40,Stefania                                                                                            ,0
41,De Diepte                                                                                           ,1
42,River                                                                                               ,28
43,Hope                                                                                                ,21
44,Sentimentai                                                                                         ,8
45,Not The Same                                                                                        ,18
46,Fade To Black                                                                                       ,24
47,Boys Do Cry                                                                                         ,10
48,Llámame                                                                                             ,29
49,Miss You                                                                                            ,23
50,Hold Me Closer                                                                                      ,17
51,In Corpore Sano                                                                                     ,19
52,Trenulețul                                                                                          ,9
53,Die Together                                                                                        ,2
54,"Saudade, Saudade                                                                                    ",3
55,Give That Wolf A Banana                                                                             ,7
56,Snap                                                                                                ,6
57,Jezebel                                                                                             ,22
58,Lights Off                                                                                          ,20
59,Með Hækkandi Sól                                                                                   ,11
60,Je Me Casse                                                                                         ,40
61,Shum                                                                                                ,41
62,Russian Woman                                                                                       ,42
63,Discoteque                                                                                          ,43
64,Set Me Free                                                                                         ,44
65,El Diablo                                                                                           ,45
66,Voices                                                                                              ,46
67,Mata Hari                                                                                           ,47
68,The Wrong Place                                                                                     ,48
69,Fallen Angel                                                                                        ,49
70,Tick-Tock                                                                                           ,50
71,Amnesia                                                                                             ,51
72,Amen                                                                                                ,52
73,Technicolour                                                                                        ,53
74,Here I Stand                                                                                        ,54
75,MAPS                                                                                                ,55
76,Tout lUnivers                                                                                       ,56
77,10 Years                                                                                            ,57
78,Growing Up Is Getting Old                                                                           ,58
79,Love Is On My Side                                                                                  ,59
80,Dark Side                                                                                           ,60
81,Last Dance                                                                                          ,61
82,Loco Loco                                                                                           ,62
83,Adrenalina                                                                                          ,63
84,Karma                                                                                               ,64
85,Øve Os På Hinanden                                                                                  ,65
86,Amen                                                                                                ,66
87,The Lucky One                                                                                       ,67
88,The Ride                                                                                            ,68
89,omaga                                                                                               ,69
90,You                                                                                                 ,70
91,SUGAR                                                                                               ,71
92,The Moon Is Rising                                                                                  ,72
93,Zitti E Buoni                                                                                       ,73
94,Voilà                                                                                               ,74
95,Shum                                                                                                ,41
96,Je Me Casse                                                                                         ,40
97,Discoteque                                                                                          ,43
98,Russian Woman                                                                                       ,42
99,Growing Up Is Getting Old                                                                           ,58
100,Voices                                                                                              ,46
101,Loco Loco                                                                                           ,62
102,El Diablo                                                                                           ,45
103,Set Me Free                                                                                         ,44
104,Fallen Angel                                                                                        ,49
105,The Wrong Place                                                                                     ,48
106,Mata Hari                                                                                           ,47
107,Birth Of A New Age                                                                                  ,75
108,10 Years                                                                                            ,57
109,Dark Side                                                                                           ,60
110,Last Dance                                                                                          ,61
111,Love Is On My Side                                                                                  ,59
112,SUGAR                                                                                               ,71
113,Adrenalina                                                                                          ,63
114,Tout lUnivers                                                                                       ,56
115,Karma                                                                                               ,64
116,Voy A Quedarme                                                                                      ,76
117,I Dont Feel Hate                                                                                    ,77
118,Embers                                                                                              ,78
119,Voda                                                                                                ,52
120,Attention                                                                                           ,79
121,Feker Libi                                                                                          ,44
122,Running                                                                                             ,80
123,Cleopatra                                                                                           ,47
124,Solovey                                                                                             ,41
125,Release Me                                                                                          ,48
126,Uno                                                                                                 ,81
127,YOU                                                                                                 ,54
128,On Fire                                                                                             ,43
129,Dont Break Me                                                                                       ,53
130,Story Of My Life                                                                                    ,55
131,Divlji Vjetre                                                                                       ,82
132,Move                                                                                                ,83
133,Da Vidna                                                                                            ,84
134,All Of My Love                                                                                      ,40
135,Alcohol You                                                                                         ,51
136,Kemama                                                                                              ,69
137,Prison                                                                                              ,71
138,SUPERG!RL                                                                                           ,61
139,Medo De Sentir                                                                                      ,85
140,Think About Things                                                                                  ,57
141,Empires                                                                                             ,86
142,Alive                                                                                               ,66
143,Looking Back                                                                                        ,87
144,Hasta La Vista                                                                                      ,62
145,YES                                                                                                 ,88
146,What Love Is                                                                                        ,67
147,Chains On You                                                                                       ,89
148,Répondez-moi                                                                                        ,56
149,Tears Getting Sober                                                                                 ,58
150,Still Breathing                                                                                     ,72
151,Take Me As I Am                                                                                     ,70
152,Fall From The Sky                                                                                   ,90
153,Freaky!                                                                                             ,63
154,Mon Alliée (The Best In Me)                                                                         ,91
155,Universo                                                                                            ,76
156,Grow                                                                                                ,75
157,My Last Breath                                                                                      ,78
158,Violent Thing                                                                                       ,92
159,Fai Rumore                                                                                          ,93
160,Zero Gravity                                                                                        ,94
161,Friend of a Friend                                                                                  ,95
162,Fire of Love (Pali się)                                                                             ,96
163,Az én apám                                                                                          ,97
164,Wake Up                                                                                             ,98
165,Keep on Going                                                                                       ,99
166,Telemóveis                                                                                          ,100
167,Heaven                                                                                              ,101
168,Look Away                                                                                           ,102
169,Hatrið mun sigra                                                                                    ,103
170,Storm                                                                                               ,104
171,Better Love                                                                                         ,105
172,Sebi                                                                                                ,106
173,Kruna                                                                                               ,107
174,Say Na Na Na                                                                                        ,108
175,Replay                                                                                              ,109
176,Like It                                                                                             ,110
177,Run With The Lions                                                                                  ,111
178,Stay                                                                                                ,112
179,On a Sunday                                                                                         ,113
180,The Dream                                                                                           ,114
181,That Night                                                                                          ,115
182,Arcade                                                                                              ,116
183,Proud                                                                                               ,117
184,Too Late For Love                                                                                   ,118
185,She Got Me                                                                                          ,119
186,Walking Out                                                                                         ,120
187,Limits                                                                                              ,121
188,22                                                                                                  ,122
189,Truth                                                                                               ,123
190,Scream                                                                                              ,124
191,Spirit in the Sky                                                                                   ,125
192,Chameleon                                                                                           ,126
193,Ktheju tokës                                                                                        ,127
194,Love Is Forever                                                                                     ,128
195,Soldi                                                                                               ,129
196,La Venda                                                                                            ,130
197,Home                                                                                                ,131
198,Bigger Than Us                                                                                      ,132
199,Zero Gravity                                                                                        ,94
